日期,总开户数,总装机数,日开户数,日销户数,日活跃用户数,HMS容量,HMS峰值,HMS负荷,中心HMS峰值,中心并发比,EPG容量,EPG峰值,EPG负荷,EPG默认分组峰值,EPG默认分组并发比,HMS峰值时间,EPG峰值时间,黑IP数
2015-06-28,1526786,0,---,---,---,338305,126568,37%,4404,3%,500400,266693,53%,82,0%,22:05:00,22:05:00,7081,0
2015-06-27,1526283,0,---,---,---,338305,124767,37%,4392,4%,500400,259267,52%,70,0%,22:20:00,22:35:00,7661,0
2015-06-26,1525840,0,---,---,---,338305,119525,35%,4598,4%,500400,258895,52%,87,0%,21:50:00,22:35:00,5156,0
2015-06-25,1525532,0,---,---,---,338880,117834,35%,4606,4%,500400,249353,50%,76,0%,21:50:00,22:35:00,2801,0
2015-06-24,1525253,0,---,---,---,339455,118027,35%,4170,4%,500400,251283,50%,70,0%,22:05:00,22:35:00,2747,0
2015-06-23,1524945,0,---,---,---,339455,122589,36%,4363,4%,500400,245316,49%,61,0%,21:50:00,22:35:00,2942,0
2015-06-22,1524733,0,---,---,---,337730,124625,37%,4656,4%,500400,249424,50%,65,0%,21:50:00,22:05:00,4906,0
2015-06-21,1524419,0,---,---,---,337730,121615,36%,4781,4%,500400,251963,50%,56,0%,21:50:00,22:05:00,4413,0
2015-06-20,1524131,0,---,---,---,337730,114787,34%,4150,4%,500400,239399,48%,47,0%,22:20:00,22:50:00,4339,0
2015-06-19,1523839,0,---,---,---,337730,113635,34%,3919,3%,500400,246336,49%,48,0%,22:20:00,22:50:00,3975,0
2015-06-18,1523619,0,---,---,---,338880,116498,34%,3771,3%,500400,236853,47%,49,0%,21:50:00,22:35:00,3937,0
2015-06-17,1523417,0,---,---,---,335880,119560,36%,3864,3%,500400,249420,50%,57,0%,21:50:00,21:50:00,4281,0
2015-06-16,1523168,0,---,---,---,335880,115678,34%,4177,4%,500400,254063,51%,75,0%,21:50:00,21:50:00,3832,0
2015-06-15,1522915,0,---,---,---,338880,123105,36%,4125,3%,500400,252417,50%,61,0%,21:50:00,21:50:00,3789,0
2015-06-14,1522707,0,---,---,---,338880,115839,34%,4228,4%,500400,250081,50%,65,0%,21:50:00,22:35:00,6165,0
2015-06-13,1522349,0,---,---,---,338880,116479,34%,4393,4%,500400,244487,49%,52,0%,21:50:00,22:50:00,6198,0
2015-06-12,1521978,0,---,---,---,339455,111593,33%,3897,3%,500400,246849,49%,55,0%,22:05:00,22:50:00,40640,0
2015-06-11,1521738,0,---,---,---,339455,115603,34%,3973,3%,500400,238207,48%,124,0%,21:50:00,22:35:00,50368,0
2015-06-10,1521495,0,---,---,---,335880,113285,34%,1796,2%,500400,241588,48%,157,0%,21:50:00,22:35:00,4637,0
2015-06-09,1521304,0,---,---,---,336455,118068,35%,3844,3%,500400,242181,48%,119,0%,21:50:00,22:35:00,5190,0
2015-06-08,1521087,0,---,---,---,339455,120870,36%,3893,3%,500400,251341,50%,113,0%,21:50:00,21:50:00,5822,0
2015-06-07,1520899,0,---,---,---,338880,122997,36%,4176,3%,500400,261031,52%,134,0%,21:20:00,21:50:00,9319,0
2015-06-06,1520604,0,---,---,---,338880,118020,35%,3717,3%,500400,247502,49%,126,0%,21:50:00,22:35:00,9019,0
2015-06-05,1520290,0,---,---,---,339455,112018,33%,3506,3%,500400,250480,50%,129,0%,22:20:00,22:50:00,6626,0
2015-06-04,1519997,0,---,---,---,339455,111850,33%,3558,3%,500400,239395,48%,124,0%,21:50:00,22:35:00,4421,0
2015-06-03,1519762,0,---,---,---,337730,109921,33%,3518,3%,500400,240343,48%,109,0%,21:50:00,22:05:00,4405,0
2015-06-02,1519476,0,---,---,---,325805,119597,37%,4028,3%,500400,253431,51%,128,0%,21:35:00,21:50:00,4474,0
2015-06-01,1519211,0,---,---,---,338305,115534,34%,3294,3%,500400,238478,48%,117,0%,21:50:00,22:35:00,30969,0
2015-05-31,1518944,0,---,---,---,338880,118588,35%,2243,2%,500400,250569,50%,100,0%,21:50:00,22:35:00,93466,0
2015-05-30,1518588,0,---,---,---,338880,118068,35%,3430,3%,500400,247313,49%,118,0%,22:20:00,22:50:00,94666,0
2015-05-29,1518257,0,---,---,---,338880,113377,33%,3364,3%,500400,253472,51%,122,0%,22:20:00,22:50:00,92648,0
2015-05-28,1518015,0,---,---,---,337505,115268,34%,3401,3%,500400,236510,47%,136,0%,21:50:00,22:35:00,66381,0
2015-05-27,1517798,0,---,---,---,338080,113797,34%,3488,3%,500400,248411,50%,116,0%,21:20:00,21:50:00,3984,0
2015-05-26,1517526,0,---,---,---,330015,117949,36%,3097,3%,500400,240416,48%,109,0%,21:50:00,22:05:00,3117,0
2015-05-25,1517255,0,---,---,---,336930,128074,38%,2926,2%,500400,246202,49%,119,0%,21:50:00,22:35:00,3166,0
2015-05-24,1517012,0,---,---,---,336930,125869,37%,2940,2%,500400,259551,52%,127,0%,22:05:00,22:35:00,4415,0
2015-05-23,1516665,0,---,---,---,336930,126149,37%,3214,3%,500400,256279,51%,131,0%,22:20:00,22:35:00,4952,0
2015-05-22,1516284,0,---,---,---,336930,119557,35%,3033,3%,500400,251805,50%,129,0%,22:05:00,22:50:00,5149,0
2015-05-21,1516000,0,---,---,---,336930,121139,36%,3038,3%,500400,237816,48%,124,0%,21:50:00,22:35:00,1712,0
2015-05-20,1515803,0,---,---,---,336930,119716,36%,3337,3%,500400,240034,48%,105,0%,21:50:00,22:35:00,97302,0
2015-05-19,1515566,0,---,---,---,336930,121601,36%,2968,2%,500400,241999,48%,126,0%,22:05:00,22:35:00,73111,0
2015-05-18,1515313,0,---,---,---,336930,126551,38%,3179,3%,500400,246782,49%,115,0%,21:50:00,22:05:00,3499,0
2015-05-17,1515101,0,---,---,---,336930,121319,36%,2823,2%,500400,255935,51%,130,0%,22:20:00,22:35:00,3790,0
2015-05-16,1514875,0,---,---,---,336930,123072,37%,3176,3%,500400,249702,50%,110,0%,22:20:00,22:35:00,3500,0
2015-05-15,1514517,0,---,---,---,336930,118669,35%,3161,3%,500400,261331,52%,128,0%,22:20:00,22:35:00,3396,0
2015-05-14,1514317,0,---,---,---,336930,120368,36%,2955,2%,500400,240665,48%,116,0%,21:50:00,22:50:00,3089,0
2015-05-13,1514053,0,---,---,---,336930,118127,35%,3001,3%,500400,237960,48%,106,0%,21:50:00,22:35:00,3115,0
2015-05-12,1513854,0,---,---,---,337505,119256,35%,2910,2%,500400,237160,47%,105,0%,21:50:00,22:50:00,3132,0
2015-05-11,1513651,0,---,---,---,337505,125888,37%,2844,2%,500400,251002,50%,123,0%,21:50:00,21:50:00,5258,0
2015-05-10,1513451,0,---,---,---,337505,120740,36%,2868,2%,500400,255678,51%,115,0%,21:50:00,22:20:00,4540,0
2015-05-09,1513193,0,---,---,---,337505,125010,37%,3085,2%,500400,259549,52%,133,0%,22:20:00,22:35:00,5246,0
2015-05-08,1512898,0,---,---,---,337505,118316,35%,3034,3%,500400,252592,50%,129,0%,21:50:00,22:05:00,4555,0
2015-05-07,1512679,0,---,---,---,337505,118739,35%,2830,2%,500400,237000,47%,112,0%,21:50:00,22:05:00,4161,0
2015-05-06,1512464,0,---,---,---,337505,118745,35%,3608,3%,500400,239043,48%,120,0%,21:50:00,22:20:00,4647,0
2015-05-05,1512251,0,---,---,---,337505,120178,36%,2958,2%,500400,239120,48%,117,0%,21:50:00,22:20:00,4243,0
2015-05-04,1512008,0,---,---,---,337505,123683,37%,2845,2%,500400,242451,48%,125,0%,21:50:00,22:05:00,11902,0
2015-05-03,1511794,0,---,---,---,337505,119802,35%,2562,2%,500400,251929,50%,120,0%,22:05:00,22:35:00,5621,0
2015-05-02,1511572,0,---,---,---,337505,117399,35%,3015,3%,500400,242285,48%,134,0%,22:05:00,22:50:00,5927,0
2015-05-01,1511329,0,---,---,---,338080,107021,32%,2541,2%,500400,238076,48%,124,0%,22:20:00,22:50:00,5697,0
2015-04-30,1511055,0,---,---,---,338655,114861,34%,1906,2%,500400,231517,46%,85,0%,21:50:00,22:50:00,4769,0
2015-04-29,1510758,0,---,---,---,338080,115566,34%,2583,2%,500400,234769,47%,112,0%,21:50:00,22:05:00,3922,0
2015-04-28,1510506,0,---,---,---,338080,115612,34%,2409,2%,500400,234997,47%,103,0%,21:50:00,22:35:00,4258,0
2015-04-27,1510281,0,---,---,---,336480,120676,36%,2583,2%,500400,236957,47%,103,0%,21:50:00,22:05:00,34311,0
2015-04-26,1510071,0,---,---,---,338880,118977,35%,2905,2%,500400,254505,51%,117,0%,21:20:00,22:20:00,3283,0
2015-04-25,1509786,0,---,---,---,338880,117300,35%,2922,2%,500400,245519,49%,111,0%,22:20:00,22:50:00,3695,0
2015-04-24,1509500,0,---,---,---,338880,115045,34%,2831,2%,500400,244996,49%,105,0%,22:05:00,22:50:00,3344,0
2015-04-23,1509199,0,---,---,---,338880,117110,35%,2838,2%,500400,233597,47%,108,0%,21:50:00,22:05:00,3967,0
2015-04-22,1509002,0,---,---,---,338880,115993,34%,2963,3%,500400,234773,47%,105,0%,21:50:00,22:05:00,20529,0
2015-04-21,1508811,0,---,---,---,337730,115797,34%,4007,3%,500400,237849,48%,122,0%,21:50:00,22:05:00,3495,0
2015-04-20,1508604,0,---,---,---,337455,122831,36%,3059,2%,500400,243050,49%,116,0%,21:50:00,22:05:00,3983,0
2015-04-19,1508394,0,---,---,---,334730,119718,36%,2960,2%,500400,258634,52%,127,0%,21:05:00,22:05:00,6536,0
2015-04-18,1508073,0,---,---,---,334730,118732,35%,2993,3%,500400,245437,49%,105,0%,22:05:00,22:50:00,7470,0
2015-04-17,1507849,0,---,---,---,334730,112720,34%,2639,2%,500400,243764,49%,96,0%,22:05:00,22:50:00,4492,0
2015-04-16,1507596,0,---,---,---,334730,115163,34%,2499,2%,500400,230963,46%,105,0%,21:50:00,22:05:00,3350,0
2015-04-15,1507380,0,---,---,---,335305,110111,33%,1798,2%,500400,227945,46%,107,0%,21:50:00,22:05:00,3547,0
2015-04-14,1507189,0,---,---,---,335305,114314,34%,1887,2%,500400,232406,46%,108,0%,21:50:00,22:05:00,3852,0
2015-04-13,1506987,0,---,---,---,336455,117553,35%,1868,2%,500400,240624,48%,120,0%,21:50:00,21:50:00,3768,0
2015-04-12,1506818,0,---,---,---,336455,118754,35%,1905,2%,500400,251990,50%,126,0%,21:50:00,22:05:00,4609,0
2015-04-11,1506581,0,---,---,---,336455,109266,32%,1822,2%,500400,248638,50%,111,0%,22:05:00,22:35:00,5877,0
2015-04-10,1506355,0,---,---,---,337030,117059,35%,1917,2%,500400,235025,47%,104,0%,21:50:00,22:50:00,2693,0
2015-04-09,1506128,0,---,---,---,335880,116998,35%,1857,2%,500400,232880,47%,127,0%,21:50:00,21:50:00,2522,0
2015-04-08,1505912,0,---,---,---,335880,115370,34%,1894,2%,500400,238258,48%,107,0%,21:50:00,21:50:00,2499,0
2015-04-07,1505701,0,---,---,---,334730,120810,36%,2143,2%,500400,246172,49%,116,0%,21:50:00,21:50:00,3225,0
2015-04-06,1505514,0,---,---,---,335880,123833,37%,2174,2%,500400,249691,50%,117,0%,21:50:00,21:50:00,3524,0
2015-04-05,1505296,0,---,---,---,335880,119631,36%,2048,2%,500400,245714,49%,125,0%,22:05:00,22:20:00,3914,0
2015-04-04,1505098,0,---,---,---,335880,115042,34%,1855,2%,500400,235922,47%,111,0%,21:50:00,22:35:00,4016,0
2015-04-03,1504833,0,---,---,---,335880,114656,34%,1760,2%,500400,242792,49%,113,0%,22:05:00,22:35:00,3549,0
2015-04-02,1504615,0,---,---,---,336455,117545,35%,1706,1%,500400,237673,47%,126,0%,21:50:00,22:05:00,3108,0
2015-04-01,1504367,0,---,---,---,336455,115539,34%,1553,1%,500400,233287,47%,116,0%,21:50:00,22:05:00,3325,0
2015-03-31,1504162,0,---,---,---,337030,113100,34%,1103,1%,500400,236487,47%,104,0%,22:05:00,22:35:00,3386,0
2015-03-30,1503902,0,---,---,---,336455,121905,36%,1678,1%,500400,240405,48%,122,0%,21:50:00,21:50:00,3756,0
2015-03-29,1503666,0,---,---,---,336455,121411,36%,1745,1%,500400,249906,50%,119,0%,21:50:00,22:05:00,5772,0
2015-03-28,1503388,0,---,---,---,337030,123281,37%,2037,2%,500400,245716,49%,123,0%,21:50:00,22:35:00,5888,0
2015-03-27,1503105,0,---,---,---,337605,121591,36%,1975,2%,500400,247864,50%,127,0%,22:05:00,22:35:00,5044,0
2015-03-26,1502884,0,---,---,---,337030,120211,36%,1544,1%,500400,244111,49%,127,0%,21:50:00,21:50:00,4570,0
2015-03-25,1502668,0,---,---,---,337030,119468,35%,1434,1%,500400,237879,48%,115,0%,21:50:00,22:05:00,3729,0
2015-03-24,1502434,0,---,---,---,337030,118984,35%,1417,1%,500400,239998,48%,118,0%,21:50:00,22:05:00,4174,0
2015-03-23,1502211,0,---,---,---,337605,123762,37%,1413,1%,500400,245171,49%,125,0%,21:50:00,21:50:00,3258,0
2015-03-22,1502003,0,---,---,---,337030,118213,35%,1245,1%,500400,260407,52%,119,0%,22:20:00,22:05:00,4692,0
2015-03-21,1501709,0,---,---,---,337030,122167,36%,1618,1%,500400,249236,50%,119,0%,22:20:00,22:35:00,5311,0
2015-03-20,1501431,0,---,---,---,337605,122361,36%,1404,1%,500400,249768,50%,124,0%,21:50:00,22:50:00,4398,0
2015-03-19,1501230,0,---,---,---,336455,117787,35%,1168,1%,500400,238642,48%,98,0%,22:05:00,22:35:00,3469,0
2015-03-18,1500996,0,---,---,---,337030,116519,35%,1236,1%,500400,247331,49%,103,0%,21:50:00,21:50:00,3873,0
2015-03-17,1500727,0,---,---,---,337030,116810,35%,1157,1%,500400,244325,49%,115,0%,21:50:00,22:05:00,4541,0
2015-03-16,1500498,0,---,---,---,337030,124843,37%,1314,1%,500400,246077,49%,128,0%,21:50:00,21:50:00,54825,0
2015-03-15,1500275,0,---,---,---,337030,120890,36%,1520,1%,500400,263690,53%,142,0%,21:20:00,21:50:00,4628,0
2015-03-14,1500035,0,---,---,---,337030,125568,37%,1703,1%,500400,258506,52%,117,0%,21:50:00,21:50:00,4383,0
2015-03-13,1499770,0,---,---,---,337030,116396,35%,1248,1%,500400,251102,50%,124,0%,22:20:00,22:50:00,3742,0
2015-03-12,1499598,0,---,---,---,337030,116003,34%,1372,1%,500400,240258,48%,114,0%,21:50:00,21:50:00,3847,0
2015-03-11,1499389,0,---,---,---,336455,117842,35%,1338,1%,500400,238650,48%,99,0%,21:50:00,21:50:00,2854,0
2015-03-10,1499170,0,---,---,---,331605,117219,35%,1124,1%,500400,241219,48%,124,0%,21:50:00,21:50:00,3119,0
2015-03-09,1498983,0,---,---,---,331605,119584,36%,1045,1%,500400,247035,49%,124,0%,21:50:00,21:50:00,3076,0
2015-03-08,1498787,0,---,---,---,331605,120398,36%,1176,1%,500400,259622,52%,120,0%,21:05:00,21:50:00,5020,0
2015-03-07,1498572,0,---,---,---,331605,123969,37%,1374,1%,500400,249982,50%,105,0%,21:50:00,22:35:00,5029,0
2015-03-06,1498307,0,---,---,---,331605,121935,37%,1031,1%,500400,248829,50%,125,0%,21:50:00,22:35:00,4141,0
2015-03-05,1498052,0,---,---,---,332030,112340,34%,735,1%,500400,252168,50%,124,0%,22:20:00,21:50:00,3734,0
2015-03-04,1497866,0,---,---,---,332455,116779,35%,731,1%,500400,239295,48%,103,0%,21:50:00,21:50:00,3178,0
2015-03-03,1497671,0,---,---,---,332455,117939,35%,697,1%,500400,244685,49%,121,0%,21:50:00,21:50:00,4802,0
2015-03-02,1497462,0,---,---,---,332455,120568,36%,748,1%,500400,242476,48%,107,0%,21:50:00,21:50:00,2473,0
2015-03-01,1497247,0,---,---,---,332455,120961,36%,737,1%,500400,249442,50%,133,0%,21:20:00,21:50:00,2806,0
2015-02-28,1497022,0,---,---,---,332455,131067,39%,675,1%,500400,256495,51%,95,0%,21:50:00,22:35:00,3423,0
2015-02-27,1496852,0,---,---,---,332455,120586,36%,684,1%,500400,248510,50%,124,0%,21:50:00,21:50:00,3173,0
2015-02-26,1496684,0,---,---,---,332455,122150,37%,685,1%,500400,242868,49%,115,0%,21:50:00,21:50:00,3080,0
2015-02-25,1496529,0,---,---,---,327205,118400,36%,728,1%,498100,249658,50%,135,0%,21:50:00,21:50:00,3561,0
2015-02-24,1496417,0,---,---,---,327205,115997,35%,711,1%,498100,230715,46%,120,0%,21:50:00,22:35:00,3989,0
2015-02-23,1496337,0,---,---,---,327205,109827,34%,714,1%,498100,216941,44%,101,0%,21:50:00,22:35:00,4128,0
2015-02-22,1496273,0,---,---,---,327205,108237,33%,690,1%,498100,212644,43%,86,0%,21:50:00,22:50:00,4261,0
2015-02-21,1496223,0,---,---,---,327205,104769,32%,635,1%,498100,208292,42%,104,0%,22:05:00,22:35:00,3659,0
2015-02-20,1496188,0,---,---,---,327205,99562,30%,575,1%,498100,203944,41%,87,0%,21:50:00,22:50:00,3364,0
2015-02-19,1496162,0,---,---,---,327205,94319,29%,515,1%,498100,204107,41%,108,0%,22:05:00,21:50:00,3629,0
2015-02-18,1496118,0,---,---,---,327205,77515,24%,443,1%,498100,209639,42%,112,0%,00:05:00,22:05:00,3277,0
2015-02-17,1495997,0,---,---,---,327205,106919,33%,666,1%,498100,217207,44%,127,0%,21:50:00,22:50:00,3865,0
2015-02-16,1495727,0,---,---,---,327205,116625,36%,720,1%,498100,224593,45%,122,0%,21:50:00,22:50:00,4128,0
2015-02-15,1495465,0,---,---,---,324205,119525,37%,810,1%,498100,237178,48%,175,0%,21:50:00,22:35:00,5094,0
2015-02-14,1495213,0,---,---,---,324205,119287,37%,942,1%,498100,236272,47%,149,0%,22:05:00,22:35:00,4125,0
2015-02-13,1494846,0,---,---,---,324205,117636,36%,718,1%,498100,236193,47%,154,0%,21:50:00,22:50:00,3910,0
2015-02-12,1494566,0,---,---,---,324205,121170,37%,783,1%,498100,236114,47%,174,0%,21:50:00,22:20:00,4334,0
2015-02-11,1494292,0,---,---,---,324205,118300,36%,752,1%,498100,235829,47%,188,0%,21:50:00,22:35:00,26513,0
2015-02-10,1493968,0,---,---,---,324205,120636,37%,813,1%,498100,238362,48%,202,0%,21:50:00,22:05:00,4054,0
2015-02-09,1493709,0,---,---,---,324205,122620,38%,841,1%,498100,240787,48%,216,0%,21:50:00,22:05:00,3856,0
2015-02-08,1493388,0,---,---,---,324780,125219,39%,1058,1%,498100,250319,50%,208,0%,21:35:00,22:05:00,5383,0
2015-02-07,1493050,0,---,---,---,324780,120313,37%,994,1%,498100,243238,49%,232,0%,21:50:00,22:35:00,18381,0
2015-02-06,1492690,0,---,---,---,324780,119697,37%,1109,1%,498100,242969,49%,240,0%,21:50:00,22:35:00,47445,0
2015-02-05,1492456,0,---,---,---,324780,123461,38%,1051,1%,498100,243665,49%,261,0%,21:50:00,22:05:00,4572,0
2015-02-04,1492228,0,---,---,---,324780,124037,38%,1223,1%,498100,247103,50%,242,0%,21:50:00,21:50:00,5054,0
2015-02-03,1491946,0,---,---,---,324780,127647,39%,1190,1%,498100,251296,50%,277,0%,21:50:00,21:50:00,5124,0
2015-02-02,1491640,3,---,---,---,324780,127991,39%,1054,1%,498100,256681,52%,313,0%,21:50:00,21:50:00,4038,0
2015-02-01,1491414,3,---,---,---,324780,128852,40%,1170,1%,498100,264607,53%,361,0%,21:35:00,21:50:00,4695,0
2015-01-31,1491138,3,---,---,---,324780,126667,39%,729,1%,498100,256660,52%,316,0%,21:50:00,21:50:00,4961,0
2015-01-30,1490771,3,---,---,---,324780,24968,8%,0,0%,498100,267902,54%,462,0%,21:50:00,22:35:00,4697,0
2015-01-29,1490700,3,---,---,---,324780,26431,8%,0,0%,498100,278662,56%,552,0%,21:35:00,21:50:00,5614,0
